experiment,scenario,method,hot,rate,repeat,sent,committed,admission_rejected,queue_timeout,client_error,completion_tps,latency_ms,latency_max_ms,mvcc_invalid,queue_wait_ms,fabric_ms,conflict_blocked,scd_selected,scd_edges,hot_key_rejected,ttl_expired
2,contention,traditional-lock,100,300,6,6000,1835,3137,1028,0,221.27973446431866,1964.8943333333334,7872.0,0,2974.799455040872,434.41689373297004,0,0,0,0,0
2,contention,traditional-lock,100,300,7,6000,1907,3254,839,0,226.80880018144703,1857.8075,6869.0,0,3149.1824855794443,406.15941269008914,0,0,0,0,0
2,contention,traditional-lock,100,300,8,6000,2029,3137,834,0,226.62889518413596,1861.1246666666666,7269.0,0,2993.636766880237,386.34894036471167,0,0,0,0,0
2,contention,traditional-lock,100,300,9,6000,2027,3146,827,0,219.7158341877838,1864.2391666666667,7939.0,0,3008.866304884065,385.1258016773557,0,0,0,0,0
2,contention,traditional-lock,100,300,10,6000,1740,3318,942,0,239.0343014222541,1839.013,8121.0,0,2780.280459770115,448.94885057471265,0,0,0,0,0
2,contention,traditional-lock,200,300,1,6000,1887,3397,716,0,221.1900022119,1927.4935,7951.0,0,3683.128245892952,429.5622681505034,0,0,0,0,0
2,contention,traditional-lock,200,300,2,6000,1741,3568,691,0,232.19814241486068,1788.7635,7927.0,0,3578.115450890293,427.4095347501436,0,0,0,0,0
2,contention,traditional-lock,200,300,3,6000,1857,3426,717,0,222.57669621990576,1880.664,7250.0,0,3553.467959073775,433.10177705977384,0,0,0,0,0
2,contention,traditional-lock,200,300,4,6000,1843,3437,720,0,220.2966661771185,1891.8985,7816.0,0,3607.8166033640805,432.47151383613675,0,0,0,0,0
2,contention,traditional-lock,200,300,5,6000,1855,3449,696,0,220.68559658672945,1857.2578333333333,7405.0,0,3517.8398921832886,431.97304582210245,0,0,0,0,0
2,contention,traditional-lock,200,300,6,6000,1799,3486,715,0,226.4834667069304,1859.1143333333334,7982.0,0,3628.8827126181213,442.20733740967205,0,0,0,0,0
2,contention,traditional-lock,200,300,7,6000,1768,3428,804,0,221.6557685913776,1953.0898333333334,8436.0,0,3645.2799773755655,460.25904977375563,0,0,0,0,0
2,contention,traditional-lock,200,300,8,6000,1957,3427,616,0,223.17277292170354,1879.701,7291.0,0,3681.205416453756,407.9856923863056,0,0,0,0,0
2,contention,traditional-lock,200,300,9,6000,1850,3638,512,0,238.41691170627035,1851.6896666666667,5725.0,0,4100.212972972973,426.8816216216216,0,0,0,0,0
2,contention,traditional-lock,200,300,10,6000,2036,3417,547,0,221.32871002250172,1878.6646666666666,7164.0,0,3756.079076620825,393.53831041257365,0,0,0,0,0
2,contention,traditional-lock,500,300,1,6000,2012,3481,507,0,208.79006159306817,1890.0716666666667,9517.0,0,3928.3320079522864,401.3444333996024,0,0,0,0,0
2,contention,traditional-lock,500,300,2,6000,2013,3494,493,0,223.02345463331227,1881.3313333333333,7289.0,0,3938.339294585196,396.25782414307,0,0,0,0,0
2,contention,traditional-lock,500,300,3,6000,1644,3881,475,0,225.07314877335133,1689.1688333333334,6772.0,0,4064.9245742092457,471.463503649635,0,0,0,0,0
2,contention,traditional-lock,500,300,4,6000,1857,3464,679,0,221.68852761869573,1922.2533333333333,7875.0,0,3791.115239633818,437.0732364028002,0,0,0,0,0
2,contention,traditional-lock,500,300,5,6000,1820,3570,610,0,240.24024024024024,1844.5708333333334,7765.0,0,3675.4587912087914,430.1263736263736,0,0,0,0,0
2,contention,traditional-lock,500,300,6,6000,1849,3547,604,0,225.7166503649086,1830.6395,7516.0,0,3670.362898864251,433.47971876690104,0,0,0,0,0
2,contention,traditional-lock,500,300,7,6000,1849,3485,666,0,220.43425548330208,1918.4228333333333,8246.0,0,3771.746890210925,442.782585181179,0,0,0,0,0
2,contention,traditional-lock,500,300,8,6000,1851,3526,623,0,222.93230289068885,1868.9296666666667,7668.0,0,3763.9124797406807,427.8044300378174,0,0,0,0,0
2,contention,traditional-lock,500,300,9,6000,1855,3494,651,0,221.66395744052016,1882.982,7118.0,0,3803.900269541779,435.09703504043125,0,0,0,0,0
2,contention,traditional-lock,500,300,10,6000,1831,3601,568,0,223.51363433169422,1865.1475,7080.0,0,4014.961223375205,433.90333151283454,0,0,0,0,0
3,ablation,pa-vscd,100,300,1,6000,4780,1220,0,0,191.0949742021785,524.7131666666667,11482.0,0,501.5995815899582,121.8734309623431,1223880,4780,2057,3,8
3,ablation,pa-vscd,100,300,2,6000,5057,943,0,0,204.63847203274216,521.0196666666667,12203.0,0,458.68044295036583,119.76903302353173,1255820,5057,2121,2,14
3,ablation,pa-vscd,100,300,3,6000,4504,1496,0,0,217.84119376974186,696.8825,8659.0,0,526.2850799289521,130.33880994671404,1110701,4504,1988,1,23
3,ablation,pa-vscd,100,300,4,6000,4338,1662,0,0,225.09848058525603,658.8798333333333,8691.0,0,525.445366528354,131.81765790686953,1103120,4338,2001,10,21
3,ablation,pa-vscd,100,300,5,6000,4325,1675,0,0,224.6433786364147,670.4501666666666,7745.0,0,530.5597687861272,134.6307514450867,1039872,4325,1956,4,18
3,ablation,pa-vscd,100,300,6,6000,3817,2168,0,15,200.98482564566373,535.737,10169.0,0,590.4003143830233,154.5907780979827,957073,3817,1673,2,33
3,ablation,pa-vscd,100,300,7,6000,5042,958,0,0,203.51400854758836,561.1365,7540.0,0,489.8710829036097,122.2814359381198,1213409,5042,2164,7,28
3,ablation,pa-vscd,100,300,8,6000,5314,686,0,0,265.6512884087488,491.97766666666666,5057.0,0,427.22224313135115,102.5440346255175,1280929,5314,2430,4,6
3,ablation,pa-vscd,100,300,9,6000,5164,835,0,1,225.20831769386683,503.457,9039.0,0,446.62199845081335,110.05383423702555,1215423,5164,2410,2,7
3,ablation,pa-vscd,100,300,10,6000,4092,1908,0,0,217.47798035448912,523.7631666666666,8653.0,0,574.8340664711633,141.1551808406647,1021360,4092,2091,5,11
3,ablation,pa-vscd,100,500,1,10000,4139,5861,0,0,394.5240067858129,346.9455,9604.0,0,582.8613191592171,138.5472336313119,1191176,4139,1859,66,42
3,ablation,pa-vscd,100,500,2,10000,4338,5662,0,0,389.62050962362656,346.8666,8434.0,0,569.4273858921161,134.31604426002767,1266495,4338,1903,58,24
3,ablation,pa-vscd,100,500,3,10000,4492,5508,0,0,387.431715160203,351.0491,6939.0,0,576.6012911843277,131.49510240427426,1262706,4492,1919,97,18
3,ablation,pa-vscd,100,500,4,10000,3814,6186,0,0,386.5331838738356,607.8505,6963.0,0,620.1557420031463,149.5655479811222,1150378,3814,1770,71,59
3,ablation,pa-vscd,100,500,5,10000,4288,5712,0,0,334.4929087503345,637.7704,11500.0,0,638.4102145522388,148.61497201492537,1179616,4288,2084,50,42
3,ablation,pa-vscd,100,500,6,10000,3864,6136,0,0,375.5586434821798,642.2139,9523.0,0,632.0859213250518,146.19332298136646,1085037,3864,1825,62,26
3,ablation,pa-vscd,100,500,7,10000,3802,6198,0,0,376.5627353517096,825.7222,7067.0,0,625.1417674907943,154.4366123093109,1072466,3802,1736,96,47
3,ablation,pa-vscd,100,500,8,10000,2599,7401,0,0,366.3540445486518,1072.0248,16096.0,0,841.127741439015,220.26587148903425,748492,2599,1150,54,81
3,ablation,pa-vscd,100,500,9,10000,3507,6493,0,0,373.7339761557723,719.3512,9062.0,0,657.7402338180781,161.9791844881665,1012795,3507,1677,74,49
3,ablation,pa-vscd,100,500,10,10000,3554,6446,0,0,373.8737054622948,706.0425,7018.0,0,668.8736634777715,157.99521665728756,992093,3554,1762,103,41
3,ablation,pacc-dabs,100,300,1,6000,5319,681,0,0,229.71782993223323,1619.9956666666667,14921.0,0,1674.4530926865953,120.46136491821771,1861664,5319,12138,0,0
3,ablation,pacc-dabs,100,300,2,6000,5492,508,0,0,195.01413852504308,1477.7946666666667,16155.0,0,1463.0620903131828,125.930262199563,1748751,5492,10767,0,0
3,ablation,pacc-dabs,100,300,3,6000,5130,870,0,0,190.50038100076202,1666.4356666666667,17041.0,0,1640.8879142300195,136.29844054580897,1652788,5130,10344,0,0
3,ablation,pacc-dabs,100,300,4,6000,5241,759,0,0,180.81002892960464,1474.8815,19925.0,0,1511.6447242892577,129.63957260064873,1611010,5241,12023,0,0
3,ablation,pacc-dabs,100,300,5,6000,5282,718,0,0,186.7762420620097,1623.8343333333332,18468.0,0,1582.2466868610375,137.31560015145777,1584988,5282,8361,0,0
3,ablation,pacc-dabs,100,300,6,6000,5512,488,0,0,182.36527765113522,1482.9095,13337.0,0,1464.587626995646,124.59941944847606,1786830,5512,12101,0,0
3,ablation,pacc-dabs,100,300,7,6000,5032,968,0,0,192.85163281049114,1706.5846666666666,19505.0,0,1655.501788553259,138.6460651828299,1662898,5032,10165,0,0
3,ablation,pacc-dabs,100,300,8,6000,4786,1214,0,0,213.15144410103377,1642.7001666666667,16512.0,0,1737.8430839949854,133.42561638111158,1560992,4786,10380,0,0
3,ablation,pacc-dabs,100,300,9,6000,4802,1198,0,0,199.44819333178208,1603.0956666666666,17984.0,0,1687.453977509371,138.82361516034985,1529176,4802,10869,0,0
3,ablation,pacc-dabs,100,300,10,6000,4942,1058,0,0,186.000372000744,1991.5861666666667,19767.0,0,2074.819708619992,146.53075677863214,1623146,4942,11807,0,0
3,ablation,pacc-dabs,100,500,1,10000,5412,4588,0,0,257.0033410434336,1094.8126,18974.0,0,1844.7671840354767,132.91278640059127,1974665,5412,10977,0,0
3,ablation,pacc-dabs,100,500,2,10000,4802,5198,0,0,202.36770211474249,1301.2736,29437.0,0,2116.8465222823825,148.9131611828405,1928406,4802,7720,0,0
3,ablation,pacc-dabs,100,500,3,10000,5342,4658,0,0,289.469113645574,1334.513,16914.0,0,2049.505054286784,139.90565331336578,1884115,5342,12105,0,0
3,ablation,pacc-dabs,100,500,4,10000,4701,5299,0,0,275.8240242725141,1400.17,19801.0,0,2136.5598808764094,147.38523718357797,1814898,4701,8289,0,0
3,ablation,pacc-dabs,100,500,5,10000,5562,4438,0,0,284.8678213309025,1098.1745,20600.0,0,1806.24253865516,127.60248112189859,2194029,5562,10548,0,0
3,ablation,pacc-dabs,100,500,6,10000,5076,4917,0,7,266.4819058785908,1354.6824,21496.0,0,2059.7429078014184,141.00925925925927,1756552,5076,11767,0,0
3,ablation,pacc-dabs,100,500,7,10000,4817,5183,0,0,231.76045239640305,1265.4476,25012.0,0,2077.421008926718,143.66369109404192,1770547,4817,10001,0,0
3,ablation,pacc-dabs,100,500,8,10000,5235,4761,0,4,236.27256402986487,1441.255,22554.0,0,2105.831518624642,148.68252148997135,1903857,5235,10801,0,0
3,ablation,pacc-dabs,100,500,9,10000,5463,4537,0,0,195.50342130987292,1131.9167,31165.0,0,1889.5011898224418,137.31612667032766,2145228,5463,9460,0,0
